ticker,mu_ann,sigma_ann,sharpe_ann,beta_ewm,mdd_window,skew,kurt,cluster_spectral
ACA.PA,-4.415594422123875e-17,-2.9437296147492496e-17,1.4718648073746248e-17,1.1774918458996998e-16,-1.1774918458996998e-16,-2.9437296147492496e-17,-0.0026455886952597,0
AI.PA,6.255425431342155e-17,-1.0303053651622374e-16,-2.9437296147492496e-17,4.415594422123875e-16,-1.1774918458996998e-16,-1.4718648073746248e-17,-0.001168174734574667,0
AIR.PA,0.0020571479342538865,2.9437296147492496e-17,-9.199155046091406e-17,-5.887459229498499e-17,-1.1774918458996998e-16,2.9437296147492496e-17,1.8398310092182812e-17,0
ALO.PA,1.4718648073746248e-17,5.887459229498499e-17,-3.6796620184365625e-17,-1.1774918458996998e-16,0.0,0.0,-0.014501281266847932,1
ATO.PA,0.004435638181686533,-0.012161374796149448,-2.9437296147492496e-17,0.018883208644417497,-1.1774918458996998e-16,0.0,-0.0003728980323912546,0
BN.PA,-2.9437296147492496e-17,7.359324036873125e-17,-2.2077972110619374e-17,1.76623776884955e-16,0.0,0.0,-0.0018562140675098396,0
BNP.PA,-3.6796620184365625e-17,-3.238102576224175e-16,0.0,-2.9437296147492496e-17,0.0,5.887459229498499e-17,-0.0016771500124604978,0
CA.PA,-2.2077972110619374e-17,-4.709967383598799e-16,2.2077972110619374e-17,2.3549836917993997e-16,1.1774918458996998e-16,0.0,-1.1038986055309687e-16,0
CAP.PA,0.0,4.857153864336262e-16,0.0,-7.359324036873125e-17,2.2077972110619374e-17,2.759746513827422e-17,-0.0029490312091016127,0
CS.PA,0.0007498810530002691,-1.1867447083300128e-05,-1.1038986055309687e-16,1.1774918458996998e-16,2.9437296147492496e-17,-1.4718648073746248e-17,-0.005808700303315701,1
DG.PA,0.0005387719146758744,-0.000161039908889961,-6.623391633185813e-17,2.9437296147492496e-17,-6.623391633185813e-17,-8.83118884424775e-17,-1.1724561166187313e-05,0
DSY.PA,-5.887459229498499e-17,1.839831009218281e-16,0.0,1.76623776884955e-16,-4.415594422123875e-17,0.0,0.0,0
EL.PA,5.151526825811187e-17,-1.76623776884955e-16,0.0,1.9870174899557436e-16,1.76623776884955e-16,-4.415594422123875e-17,-1.4718648073746248e-17,0
ENGI.PA,0.0,-1.471864807374625e-16,1.4718648073746248e-17,1.1774918458996998e-16,0.0,3.6796620184365625e-17,-0.00532567855391533,1
GLE.PA,0.0,-1.9870174899557436e-16,5.887459229498499e-17,-1.76623776884955e-16,1.839831009218281e-16,-2.9437296147492496e-17,-2.9437296147492496e-17,0
HO.PA,-8.83118884424775e-17,-9.567121247935062e-17,5.887459229498499e-17,5.887459229498499e-17,0.0,-1.4718648073746248e-17,-0.0009174586874989872,0
KER.PA,-2.9437296147492496e-17,-1.3246783266371625e-16,2.9437296147492496e-17,2.94372961474925e-16,8.83118884424775e-17,2.9437296147492496e-17,-0.00037099348216255784,0
MC.PA,-5.887459229498499e-17,-1.0303053651622374e-16,-5.887459229498499e-17,1.471864807374625e-16,5.887459229498499e-17,0.0,-0.008728560882277083,1
ML.PA,-4.0476282202802186e-17,-2.649356653274325e-16,5.151526825811187e-17,-1.1774918458996998e-16,-5.887459229498499e-17,3.6796620184365625e-17,-4.415594422123875e-17,0
