,ticker,cluster_kmeans,cluster_spectral
ACA.PA,ACA.PA,0,0
AI.PA,AI.PA,0,0
AIR.PA,AIR.PA,0,0
ALO.PA,ALO.PA,0,1
ATO.PA,ATO.PA,1,0
BN.PA,BN.PA,0,0
BNP.PA,BNP.PA,0,0
CA.PA,CA.PA,0,0
CAP.PA,CAP.PA,0,0
CS.PA,CS.PA,0,1
DG.PA,DG.PA,0,0
DSY.PA,DSY.PA,0,0
EL.PA,EL.PA,0,0
ENGI.PA,ENGI.PA,0,1
GLE.PA,GLE.PA,0,0
HO.PA,HO.PA,0,0
KER.PA,KER.PA,0,0
MC.PA,MC.PA,0,1
ML.PA,ML.PA,0,0
MT.PA,MT.PA,0,0
OR.PA,OR.PA,0,0
ORA.PA,ORA.PA,0,0
PUB.PA,PUB.PA,0,0
RI.PA,RI.PA,0,0
RMS.PA,RMS.PA,0,0
RNO.PA,RNO.PA,0,1
SAF.PA,SAF.PA,0,0
SAN.PA,SAN.PA,0,1
SGO.PA,SGO.PA,0,1
SU.PA,SU.PA,0,0
TEP.PA,TEP.PA,0,0
TTE.PA,TTE.PA,0,1
VIE.PA,VIE.PA,0,0
VIV.PA,VIV.PA,1,0
WLN.PA,WLN.PA,0,0
